year,category,nominee,workers,winner
2014,Best Rap Song,Started From the Bottom.,"Drake (songwriter), Noah Shebib (songwriter), Mike Zombie (songwriter)",False
2014,Best Rap Song,Holy Grail.,"Jay-Z (songwriter), The-Dream (songwriter), Jerome Harmon (songwriter), Timbaland (songwriter), Justin Timberlake (songwriter), No I.D. (songwriter)",False
2014,Best Rock Song,Cut Me Some Slack,"Dave Grohl (songwriter/artist), Paul McCartney (songwriter/artist), Krist Novoselic (songwriter/artist), Pat Smear (songwriter/artist)",True
2014,Best Song Written for Visual Media,Skyfall,Skyfall,True
2014,Best Song Written for Visual Media,We Both Know,Safe Haven,False
2014,Best Song Written for Visual Media,Young and Beautiful,The Great Gatsby,False
2014,Song of the Year,Royals.,"Joel Little (Songwriter), Lorde (Songwriter)",True
2014,Song of the Year,Just Give Me a Reason.,"Jeff Bhasker (Songwriter), Pink (Songwriter), Nate Ruess (Songwriter)",False
2014,Song of the Year,Locked Out of Heaven.,"Philip Lawrence (Songwriter), Ari Levine (Songwriter), Bruno Mars (Songwriter)",False
2015,Best American Roots Song,A Feather's Not a Bird.,Rosanne Cash,True
2015,Best Contemporary Christian Music Performance/Song,Messengers,"Luke Smallbone (songwriter), Joel Smallbone (songwriter), Joseph Prielozny (songwriter), Kenneth Chris (songwriter), Lecrae (artist/songwriter), For King & Country (artist), Torrance Esmond (songwriter), Ran Jackson (songwriter), Ricky Jackson (songwriter)",True
2015,Best Country Song,I'm Not Gonna Miss You.,"Glen Campbell (songwriter), Julian Raymond (songwriter)",True
2015,Best Country Song,Automatic.,"Nicolle Galyon (songwriter), Natalie Hemby (songwriter), Miranda Lambert (songwriter)",False
2015,Best Country Song,Meanwhile Back at Mama's.,"Tom Douglas (songwriter), Jaren Johnston (songwriter), Jeffrey Steele (songwriter)",False
2015,Best Gospel Performance/Song,No Greater Love,"Smokie Norful (songwriter/artist), Aaron Lindsey (songwriter)",True
2015,Best R&B Song,Drunk in Love.,"Jay-Z (songwriter), Rasool Diaz (songwriter), Noel Fisher (songwriter), Jerome Harmon (songwriter), Beyoncé (songwriter), Timbaland (songwriter), Dre Moon (songwriter), Brian Soko (songwriter)",True
2015,Best R&B Song,The Worst.,"Jhené Aiko (songwriter), Mac Robinson (songwriter), Brian Warfield (songwriter)",False
