year,category,nominee,workers,winner
1990,Best Song Written Specifically for a Motion Picture or Television,Let The River Run (From Working Girl),Carly Simon (songwriter),True
1990,Best Song Written Specifically for a Motion Picture or for Television,Let the River Run.,Working Girl,True
1990,Best Song Written Specifically for a Motion Picture or for Television,I Love To See You Smile.,Parenthood,False
1990,Best Song Written Specifically for a Motion Picture or for Television,Angel of Harlem.,U2: Rattle and Hum,False
1990,Song of the Year,Wind Beneath My Wings,"Bette Midler (artist), Larry Henley (songwriter), Jeff Silbar (songwriter)",True
1991,Best Country Song,Where've You Been,"Kathy Mattea (artist), Don Henry (songwriter), Jon Vezner (songwriter)",True
1991,Best Rhythm & Blues Song,U Can't Touch This,"M.C. Hammer (songwriter), Alonzo Miller (songwriter), Rick James (songwriter)",True
1991,Best Song Written Specifically for a Motion Picture or for Television,Under the Sea.,The Little Mermaid,True
1991,Best Song Written Specifically for a Motion Picture or for Television,Sooner or Later (I Always Get My Man).,Dick Tracy,False
1991,Best Song Written Specifically for a Motion Picture or for Television,Blaze of Glory.,Young Guns II,False
1991,Song of the Year,From A Distance,"Bette Midler (songwriter), Julie Gold (songwriter)",True
1991,Song of the Year,Vision Of Love.,Mariah Carey,False
1991,Song of the Year,Nothing Compares 2 U,Prince (artist),False
1991,Best R&B Song,Alright,"Janet Jackson, Jimmy Jam, Terry Lewis",False
1992,Best Country Song,Love Can Build A Bridge,"Paul Overstreet (songwriter), Naomi Judd (songwriter), John Jarvis (songwriter)",True
1992,Best Rhythm & Blues Song,Power Of Love/Love Power,"Marcus Miller (songwriter), Luther Vandross (songwriter), Teddy Vann (songwriter)",True
1992,Best Rock Song,Soul Cages,Sting (artist),True
1992,Best Song Written Specifically for a Motion Picture or for Television,(Everything I Do) I Do It For You.,Robin Hood: Prince of Thieves,True
1992,Best Song Written Specifically for a Motion Picture or for Television,Gotta Have You.,Jungle Fever,False
1992,Song of the Year,Unforgettable,"Natalie Cole (artist), Nat 'King' Cole (artist), Irving Gordon (songwriter)",True
1993,Best Country Song,"John Jarvis (songwriter), Vince Gill (artist/songwriter)",,True
1993,Best Rhythm & Blues Song,End Of The Road,"Boyz II Men (artist), Kenneth 'Babyface' Edmonds (songwriter), L.A. Reid (songwriter), Daryl Simmons (songwriter)",True
1993,Best Rock Song,Layla,"Eric Clapton (songwriter), Jim Gordon (songwriter)",True
1993,Best Song Written Specifically for a Motion Picture or for Television,Beauty and the Beast.,Beauty and the Beast,True
1993,Best Song Written Specifically for a Motion Picture or for Television,It's Probably Me.,Lethal Weapon 3,False
1993,Best Song Written Specifically for a Motion Picture or for Television,Tears in Heaven.,Rush,False
1993,Song of the Year,Tears in Heaven.,Rush,True
1993,Song of the Year,Acky Breaky Heart.,"Don Von Tress (songwriter), Billy Ray Cyrus (performer)",False
1993,Song of the Year,Constant Craving.,"k.d. lang (songwriter and performer), Ben Mink (performer)",False
1994,Best Country Song,Passionate Kisses,"Lucinda Williams (songwriter), Mary Chapin Carpenter (artist)",True
1994,Best R&B Song,That's the Way Love Goes,"Janet Jackson, Jimmy Jam, Terry Lewis",True
1994,Best Rhythm & Blues Song,That's The Way Love Goes,"Janet Jackson (songwriter), Jimmy Jam (songwriter), Terry Lewis (songwriter)",True
1994,Best Rock Song,Runaway Train,"David Pirner (songwriter), Soul Asylum (artist)",True
1994,Best Song Written Specifically for a Motion Picture or for Television,A Whole New World.,Aladdin,True
1994,Best Song Written Specifically for a Motion Picture or for Television,Run to You.,The Bodyguard,False
1994,Best Song Written Specifically for a Motion Picture or for Television,I Don't Wanna Fight.,What's Love Got to Do with It,False
1994,Song of the Year,A Whole New World (Aladdin's Theme).,Aladdin,True
1995,Best Country Song,I Swear,"Gary Baker (songwriter), Frank J. Myers (songwriter), John Michael Montgomery (artist)",True
1995,Best Rhythm & Blues Song,I'll Make Love To You,"Boyz II Men (artist), Kenneth 'Babyface' Edmonds (songwriter)",True
1995,Best Rock Song,Streets Of Philadelphia,Bruce Springsteen (songwriter),True
1995,Best Song Written Specifically for a Motion Picture or for Television,Streets of Philadelphia.,Philadelphia,True
1995,Best Song Written Specifically for a Motion Picture or for Television,Circle of Life.,The Lion King,False
1995,Best Song Written Specifically for a Motion Picture or for Television,I'll Remember.,With Honors,False
1995,Song of the Year,Streets Of Philadelphia,Bruce Springsteen (songwriter),True
1996,Best Country Song,Go Rest High On That Mountain,Vince Gill (songwriter),True
1996,Best Rhythm & Blues Song,For Your Love,Stevie Wonder (songwriter),True
1996,Best Rock Song,You Oughta Know,"Glen Ballard (songwriter), Alanis Morissette (songwriter)",True
1996,Best Song Written Specifically for a Motion Picture or for Television,Colors of the Wind.,Pocahontas,True
1996,Best Song Written Specifically for a Motion Picture or for Television,Love Me Still.,Clockers,False
1996,Best Song Written Specifically for a Motion Picture or for Television,Whatever You Imagine.,The Pagemaster,False
1996,Song of the Year,Kiss From a Rose,Seal (artist/songwriter),True
1997,Best Country Song,Blue,"LeAnn Rimes (artist), Bill Mack (songwriter)",True
1997,Best Rhythm & Blues Song,Exhale (Shoop Shoop),"Kenneth 'Babyface' Edmonds (songwriter), Whitney Houston (artist)",True
1997,Best Rock Song,For 'Give Me One Reason',Tracy Chapman,True
1997,Best Song Written Specifically for a Motion Picture or for Television,Because You Loved Me (Theme From Up Close & Personal),Up Close & Personal,True
1997,Best Song Written Specifically for a Motion Picture or for Television,It Hurts Like Hell.,Waiting to Exhale,False
1997,Best Song Written Specifically for a Motion Picture or for Television,Count On Me.,Waiting to Exhale,False
1997,Song of the Year,Change The World,"Wynonna Judd (artist), Eric Clapton (artist), Tommy Sims (songwriter), Wayne Kirkpatrick (songwriter), Gordon Kennedy (songwriter)",True
1998,Best Country Song,Butterfly Kisses,"Raybon Bros (artist), Jeff Carson (artist), Randy Thomas (songwriter), Bob Carlisle (songwriter)",True
1998,Best Rhythm & Blues Song,I Believe I Can Fly,R. Kelly (songwriter),True
1998,Best Rock Song,One Headlight,"The Wallflowers (artist), Jakob Dylan (songwriter)",True
1998,Best Song Written Specifically for a Motion Picture or for Television,I Believe I Can Fly.,Space Jam,True
1998,Best Song Written Specifically for a Motion Picture or for Television,Father Of Our Nation.,Mandela and de Klerk,False
1998,Best Song Written Specifically for a Motion Picture or for Television,A Song For Mama.,Soul Food,False
1998,Song of the Year,Sunny Came Home,"Shawn Colvin (songwriter), John Leventhal (songwriter)",True
1998,Best R&B Song,Honey.,Mariah Carey,False
1999,Best Country Song,You're Still The One,"Shania Twain (songwriter), Robert John Lange (songwriter)",True
1999,Best Rhythm & Blues Song,Doo Wop (That Thing),Lauryn Hill (songwriter),True
1999,Best Rock Song,Uninvited,Alanis Morissette (songwriter),True
1999,Best Song Written Specifically for a Motion Picture or for Television,My Heart Will Go On.,Titanic,True
1999,Best Song Written Specifically for a Motion Picture or for Television,Uninvited.,City of Angels,False
1999,Best Song Written Specifically for a Motion Picture or for Television,Tomorrow Never Dies.,Tomorrow Never Dies,False
1999,Best Song Written for a Motion Picture or for Television,My Heart Will Go On (Love Theme From Titanic),"Céline Dion (artist), Will Jennings (songwriter), James Horner (songwriter)",True
1999,Song of the Year,My Heart Will Go On.,Titanic,True
1999,Song of the Year,Iris.,Johnny Rzeznik (Songwriter),False
1999,Song of the Year,You're Still the One.,"Robert John Lange (Songwriter), Shania Twain (Songwriter)",False
1999,Best R&B Song,The Boy Is Mine.,"Brandy Norwood, Monica",False
2000,Best Country Song,Come On Over,"Robert John Lange (songwriter), Shania Twain (artist/songwriter)",True
2000,Best R&B Song,No Scrubs,"Kandi Burruss (songwriter), Tiny Harris (songwriter), TLC (artist), Kevin 'She'kspere' Briggs (songwriter)",True
2000,Best Rock Song,Scar Tissue,Red Hot Chili Peppers (songwriters),True
2000,"Best Song Written for a Motion Picture, Television or Other Visual Media",Beautiful Stranger,Austin Powers: The Spy Who Shagged Me,True
2000,"Best Song Written for a Motion Picture, Television or Other Visual Media",Music of My Heart,Music of the Heart,False
2000,"Best Song Written for a Motion Picture, Television or Other Visual Media",The Prince Of Egypt (When You Believe),The Prince of Egypt,False
2000,Song of the Year,Smooth,"Itaal Shur (songwriter), Rob Thomas (artist/songwriter), Santana (artist)",True
2001,Best Country Song,I Hope You Dance,"Mark D. Sanders (songwriter), Tia Sillers (songwriter), Lee Ann Womack (artist)",True
2001,Best R&B Song,Say My Name,"Rodney Jerkins (songwriter), Fred Jerkins (songwriter), Beyoncé (songwriter), LeToya Luckett-Walker (songwriter), LaTavia Roberson (songwriter), Kelly Rowland (songwriter), Destiny's Child (artist), Lashawn Daniels (songwriter)",True
2001,Best Rock Song,With Arms Wide Open,"Scott Stapp (songwriter), Mark Tremonti (songwriter), Creed (artist)",True
2001,"Best Song Written for a Motion Picture, Television or Other Visual Media",When She Loved Me,Toy Story 2,True
2001,"Best Song Written for a Motion Picture, Television or Other Visual Media",Save Me,Magnolia,False
2001,"Best Song Written for a Motion Picture, Television or Other Visual Media",Things Have Changed,Wonder Boys,False
2001,Song of the Year,Beautiful Day,U2 (artist/songwriters),True
2002,Best Country Song,The Lucky One,"Robert Lee Castleman (songwriter), Alison Krauss (artist), Union Station (artist)",True
2002,Best R&B Song,Fallin',Alicia Keys (artist/songwriter),True
2002,Best Rock Song,Drops Of Jupiter,"Charlie Colin (songwriter), Rob Hotchkiss (songwriter), Pat Monahan (songwriter), Jimmy Stafford (songwriter), Scott Underwood (songwriter), Train (artist)",True
2002,"Best Song Written for a Motion Picture, Television or Other Visual Media",Boss Of Me,Malcolm in the Middle,True
2002,"Best Song Written for a Motion Picture, Television or Other Visual Media",Win,Men of Honor,False
2002,"Best Song Written for a Motion Picture, Television or Other Visual Media",My Funny Friend And Me,The Emperor's New Groove,False
2002,Song of the Year,Fallin',Alicia Keys (artist/songwriter),True
2002,Song of the Year,Video,"India Arie (songwriter), Carlos Broady (songwriter), Shannon Sanders (songwriter)",False
2002,Song of the Year,Stuck In a Moment You Can't Get Out Of,U2 (songwriters),False
